State/UTs,Dose 1,Dose 2,Total Vaccination Doses
Andaman and Nicobar,109815,15186,125001
Andhra Pradesh,7543454,2529929,10073383
Arunachal Pradesh,258147,78397,336544
Assam,3336812,837436,4174248
Bihar,8560053,1803082,10363135
Chandigarh,280190,74933,355123
Chhattisgarh,5897444,1113067,7010511
Dadra and Nagar Haveli and Daman and Diu,175957,25990,201947
Delhi,4219039,1241241,5460280
Goa,438255,95218,533473
Gujarat,13121339,4178187,17299526
Haryana,4952721,1001332,5954053
Himachal Pradesh,2037219,433763,2470982
Jammu and Kashmir,2783305,549856,3333161
Jharkhand,3511232,715016,4226248
Karnataka,11125563,2772995,13898558
Kerala,7482792,2088912,9571704
Ladakh,126904,37291,164195
Lakshadweep,27658,6947,34605
Madhya Pradesh,9391831,1793545,11185376
Maharashtra,18216503,4616240,22832743
Manipur,391758,70520,462278
Meghalaya,393522,74370,467892
Mizoram,265115,51144,316259
Nagaland,222998,51951,274949
Odisha,6477001,1483088,7960089
Puducherry,221199,51290,272489
Punjab,4302436,775818,5078254
Rajasthan,13985177,3133405,17118582
Sikkim,179311,59673,238984
Tamil Nadu,7185963,2049689,9235652
Telangana,4869942,1272112,6142054
Tripura,1107254,507716,1614970
Uttar Pradesh,15173873,3505447,18679320
Uttarakhand,2247605,684445,2932050
West Bengal,11071085,3893629,14964714
Miscellaneous,1721024,1462311,3183335
